signal,timestamp,value,unit,quality,can_id,channel
Vehicle_Speed,2026-07-10T10:09:38.501337+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:38.503887+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:38.560460+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:38.562702+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:38.621288+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:38.623928+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:38.682337+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:38.684900+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:38.740068+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:38.743384+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:38.800281+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:38.804400+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:38.859767+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:38.863067+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:38.919711+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:38.923433+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:38.979652+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:38.982999+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:39.042226+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:39.044600+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:39.102947+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:39.105169+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:39.162102+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:39.164324+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:39.223687+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:39.226241+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:39.287590+00:00,0.0,km/h,good,0x51,CAN2
